Grievance Title,Brief Summary,Category,Department,Detailed Description,Location / Ward No,Priority Level,Attachment Name,Internal Notes,Date Submitted,Status
"Drainage Issue at Garden City, Phase 1 - 807","Complaint regarding drainage in Garden City, Phase 1.",Drainage,Municipal Corporation,"Main drain choked with plastic waste near Garden City, Phase 1.","Garden City, Phase 1",Low,evidence_0.jpg,Assigned to Municipal Corporation team.,2025-06-25,New
"Education Issue at Ward 4, Central Zone - 204","Complaint regarding education in Ward 4, Central Zone.",Education,Education Department,"Illegal encroachments near the playground of Ward 4, Central Zone school.","Ward 4, Central Zone",Low,None,Assigned to Education Department team.,2025-04-07,Resolved
"Waste Management Issue at Garden City, Phase 1 - 440","Complaint regarding waste management in Garden City, Phase 1.",Waste Management,Municipal Corporation,"Garbage collection truck hasn't visited Garden City, Phase 1 for a week.","Garden City, Phase 1",Medium,None,Assigned to Municipal Corporation team.,2025-06-02,Escalated
"Education Issue at Ward 9, Central Zone - 839","Complaint regarding education in Ward 9, Central Zone.",Education,Urban Development Authority,"School building in Ward 9, Central Zone needs urgent structural repairs.","Ward 9, Central Zone",Urgent,None,Assigned to Urban Development Authority team.,2025-10-04,Escalated
"Public Safety Issue at Sector 10, Heritage Colony - 313","Complaint regarding public safety in Sector 10, Heritage Colony.",Public Safety,Police Department,"Increase in petty thefts reported in Sector 10, Heritage Colony after 9 PM.","Sector 10, Heritage Colony",Urgent,None,Assigned to Police Department team.,2025-04-06,New
"Electricity Issue at Ward 8, Central Zone - 717","Complaint regarding electricity in Ward 8, Central Zone.",Electricity,Electricity Board,"Frequent power cuts without notice in Ward 8, Central Zone.","Ward 8, Central Zone",Urgent,None,Assigned to Electricity Board team.,2025-09-25,Escalated
"Sanitation Issue at Garden City, Phase 1 - 308","Complaint regarding sanitation in Garden City, Phase 1.",Sanitation,Municipal Corporation,"Drainage blockage causing water logging in Garden City, Phase 1.","Garden City, Phase 1",Urgent,evidence_6.jpg,Assigned to Municipal Corporation team.,2025-12-18,Resolved
"Electricity Issue at Sector 19, Heritage Colony - 307","Complaint regarding electricity in Sector 19, Heritage Colony.",Electricity,Electricity Board,"High voltage fluctuations causing damage to appliances in Sector 19, Heritage Colony.","Sector 19, Heritage Colony",Urgent,None,Assigned to Electricity Board team.,2025-04-19,In Progress
"Education Issue at Ward 8, Central Zone - 724","Complaint regarding education in Ward 8, Central Zone.",Education,Urban Development Authority,"School building in Ward 8, Central Zone needs urgent structural repairs.","Ward 8, Central Zone",Low,None,Assigned to Urban Development Authority team.,2025-03-23,Escalated
"Street Lighting Issue at Ward 6, Central Zone - 247","Complaint regarding street lighting in Ward 6, Central Zone.",Street Lighting,Electricity Board,"Dark spots on the road due to non-functional lights in Ward 6, Central Zone.","Ward 6, Central Zone",Low,evidence_9.jpg,Assigned to Electricity Board team.,2025-09-21,In Progress
"Waste Management Issue at Sector 10, Heritage Colony - 883","Complaint regarding waste management in Sector 10, Heritage Colony.",Waste Management,Sanitation Department,"Open garbage bin overflowing and spreading disease in Sector 10, Heritage Colony.","Sector 10, Heritage Colony",Low,None,Assigned to Sanitation Department team.,2025-07-10,In Progress
"Healthcare Issue at Sector 10, Heritage Colony - 996","Complaint regarding healthcare in Sector 10, Heritage Colony.",Healthcare,Health & Family Welfare,"Unsanitary conditions in the ward area of Sector 10, Heritage Colony hospital.","Sector 10, Heritage Colony",High,None,Assigned to Health & Family Welfare team.,2026-02-24,In Progress
"Drainage Issue at Sector 15, Heritage Colony - 560","Complaint regarding drainage in Sector 15, Heritage Colony.",Drainage,Public Works Department (PWD),"Monsoon preparation for cleaning drains not started in Sector 15, Heritage Colony.","Sector 15, Heritage Colony",High,None,Assigned to Public Works Department (PWD) team.,2025-10-04,Resolved
"Electricity Issue at Sector 16, Heritage Colony - 190","Complaint regarding electricity in Sector 16, Heritage Colony.",Electricity,Urban Development Authority,"Street pole spark observed near Sector 16, Heritage Colony.","Sector 16, Heritage Colony",Low,None,Assigned to Urban Development Authority team.,2026-02-07,New
"Education Issue at Ward 2, Central Zone - 503","Complaint regarding education in Ward 2, Central Zone.",Education,Urban Development Authority,"School building in Ward 2, Central Zone needs urgent structural repairs.","Ward 2, Central Zone",High,None,Assigned to Urban Development Authority team.,2025-05-21,In Progress
"Street Lighting Issue at Ward 7, Central Zone - 820","Complaint regarding street lighting in Ward 7, Central Zone.",Street Lighting,Electricity Board,"Flickering street light causing disturbance in Ward 7, Central Zone.","Ward 7, Central Zone",Medium,evidence_15.jpg,Assigned to Electricity Board team.,2025-04-13,Escalated
