id,Grievance Title,Detailed Description,Category,Priority Level,Location / Ward No,Department,Status,Date Submitted,Predicted Category,Predicted Priority,Confidence Score,Attachment Name,Internal Notes
GRV-2026-8413,qwertyu,qwert qwert wertyu ertyu,Healthcare,Medium,1234,Public Works Department (PWD),New,2026-03-06,Water Supply,Low,0.1,Upi.jpeg,qwerty
GRV-2026-6488,Test Water Leak,There is a major water pipe leak in Ward 7 causing flooding.,Water Supply,High,"Ward 7, Test City",Water Supply Department,New,2026-03-06,Water Supply,Medium,0.5,,Automated test entry
SYN-2D20B0BC,"Drainage Issue at Garden City, Phase 1 - 807","Main drain choked with plastic waste near Garden City, Phase 1.",Drainage,Low,"Garden City, Phase 1",Municipal Corporation,New,2025-06-25,Drainage,Low,0.9,evidence_0.jpg,Assigned to Municipal Corporation team.
SYN-643ADA86,"Education Issue at Ward 4, Central Zone - 204","Illegal encroachments near the playground of Ward 4, Central Zone school.",Education,Low,"Ward 4, Central Zone",Education Department,Resolved,2025-04-07,Education,Low,0.9,nan,Assigned to Education Department team.
SYN-526E9FF1,"Waste Management Issue at Garden City, Phase 1 - 440","Garbage collection truck hasn't visited Garden City, Phase 1 for a week.",Waste Management,Medium,"Garden City, Phase 1",Municipal Corporation,Escalated,2025-06-02,Waste Management,Medium,0.9,nan,Assigned to Municipal Corporation team.
SYN-3C51DE3A,"Education Issue at Ward 9, Central Zone - 839","School building in Ward 9, Central Zone needs urgent structural repairs.",Education,Urgent,"Ward 9, Central Zone",Urban Development Authority,Escalated,2025-10-04,Education,Urgent,0.9,nan,Assigned to Urban Development Authority team.
SYN-92F734A9,"Public Safety Issue at Sector 10, Heritage Colony - 313","Increase in petty thefts reported in Sector 10, Heritage Colony after 9 PM.",Public Safety,Urgent,"Sector 10, Heritage Colony",Police Department,New,2025-04-06,Public Safety,Urgent,0.9,nan,Assigned to Police Department team.
SYN-DE91A76F,"Electricity Issue at Ward 8, Central Zone - 717","Frequent power cuts without notice in Ward 8, Central Zone.",Electricity,Urgent,"Ward 8, Central Zone",Electricity Board,Escalated,2025-09-25,Electricity,Urgent,0.9,nan,Assigned to Electricity Board team.
SYN-44993829,"Sanitation Issue at Garden City, Phase 1 - 308","Drainage blockage causing water logging in Garden City, Phase 1.",Sanitation,Urgent,"Garden City, Phase 1",Municipal Corporation,Resolved,2025-12-18,Sanitation,Urgent,0.9,evidence_6.jpg,Assigned to Municipal Corporation team.
SYN-F53BDE8C,"Electricity Issue at Sector 19, Heritage Colony - 307","High voltage fluctuations causing damage to appliances in Sector 19, Heritage Colony.",Electricity,Urgent,"Sector 19, Heritage Colony",Electricity Board,In Progress,2025-04-19,Electricity,Urgent,0.9,nan,Assigned to Electricity Board team.
SYN-7D12BD05,"Education Issue at Ward 8, Central Zone - 724","School building in Ward 8, Central Zone needs urgent structural repairs.",Education,Low,"Ward 8, Central Zone",Urban Development Authority,Escalated,2025-03-23,Education,Low,0.9,nan,Assigned to Urban Development Authority team.
SYN-69081317,"Street Lighting Issue at Ward 6, Central Zone - 247","Dark spots on the road due to non-functional lights in Ward 6, Central Zone.",Street Lighting,Low,"Ward 6, Central Zone",Electricity Board,In Progress,2025-09-21,Street Lighting,Low,0.9,evidence_9.jpg,Assigned to Electricity Board team.
SYN-2DAC5461,"Waste Management Issue at Sector 10, Heritage Colony - 883","Open garbage bin overflowing and spreading disease in Sector 10, Heritage Colony.",Waste Management,Low,"Sector 10, Heritage Colony",Sanitation Department,In Progress,2025-07-10,Waste Management,Low,0.9,nan,Assigned to Sanitation Department team.
SYN-F2C30D5F,"Healthcare Issue at Sector 10, Heritage Colony - 996","Unsanitary conditions in the ward area of Sector 10, Heritage Colony hospital.",Healthcare,High,"Sector 10, Heritage Colony",Health & Family Welfare,In Progress,2026-02-24,Healthcare,High,0.9,nan,Assigned to Health & Family Welfare team.
SYN-0990E23C,"Drainage Issue at Sector 15, Heritage Colony - 560","Monsoon preparation for cleaning drains not started in Sector 15, Heritage Colony.",Drainage,High,"Sector 15, Heritage Colony",Public Works Department (PWD),Resolved,2025-10-04,Drainage,High,0.9,nan,Assigned to Public Works Department (PWD) team.
SYN-78FA0038,"Electricity Issue at Sector 16, Heritage Colony - 190","Street pole spark observed near Sector 16, Heritage Colony.",Electricity,Low,"Sector 16, Heritage Colony",Urban Development Authority,New,2026-02-07,Electricity,Low,0.9,nan,Assigned to Urban Development Authority team.
SYN-D2434FF0,"Education Issue at Ward 2, Central Zone - 503","School building in Ward 2, Central Zone needs urgent structural repairs.",Education,High,"Ward 2, Central Zone",Urban Development Authority,In Progress,2025-05-21,Education,High,0.9,nan,Assigned to Urban Development Authority team.
SYN-5909B6EB,"Street Lighting Issue at Ward 7, Central Zone - 820","Flickering street light causing disturbance in Ward 7, Central Zone.",Street Lighting,Medium,"Ward 7, Central Zone",Electricity Board,Escalated,2025-04-13,Street Lighting,Medium,0.9,evidence_15.jpg,Assigned to Electricity Board team.
